image path,title,price,image url
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_1414.jpg,Lòng Tốt Của Bạn Cần Thêm Đôi Phần Sắc Sảo,88.560đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_1414.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\b_a-1_2_30.jpg,Bật Đèn Nói Chuyện “Yêu”,130.380đ,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1_2_30.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\8935270703967.jpg,Nghệ Thuật Yêu - The Art Of Loving,99.330đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935270703967.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\image_195509_1_50165_1.jpg,Nghệ Thuật Làm Việc Cho Ra Kết Quả Của Toyota (Tái Bản 2021),87.500đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_50165_1.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\8935244863413.jpg,Kĩ Năng Xã Hội Cho Học Sinh Tiểu Học - Tư Duy Tích Cực,74.820đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244863413.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\image_195509_1_27254.jpg,Ngày Xưa Có Một Con Bò (Tái Bản 2019),58.800đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_27254.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\9786043235722.jpg,Đừng Bao Giờ Lùi Bước,59.000đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043235722.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\image_238097.jpg,1 Ngày Bằng 48 Giờ,50.400đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_238097.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\image_195509_1_48109.jpg,"21 Ngày Thực Hành NLP - Thay Đổi Thói Quen, Xây Dựng Nền Tảng Để Thành Công(Tái Bản 2020)",107.030đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_48109.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\bia-1_13.jpg,Từ Ngày Mai Hãy Làm Người Hạnh Phúc,94.400đ,https://cdn0.fahasa.com/media/catalog/product/b/i/bia-1_13.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\_ng-c_i-_u-m_-kh_c-h_y-ng_ng-_u-m_-_i-t_i-b_nungcuidau.jpg,"Đừng Cúi Đầu Mà Khóc, Hãy Ngẩng Đầu Mà Đi (Tái Bản 2022)",95.200đ,https://cdn0.fahasa.com/media/catalog/product/_/n/_ng-c_i-_u-m_-kh_c-h_y-ng_ng-_u-m_-_i-t_i-b_nungcuidau.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\9786047752522.jpg,Con Đường Dẫn Tới Tài Năng,56.000đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786047752522.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\8935235242005.jpg,Cho Phép Mọi Chuyện Xảy Ra,94.300đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935235242005.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\image_193421.jpg,Khi Bạn Tắc Đường Thì Tôi Đang Chơi Golf,75.840đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_193421.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\mba-th_c-chi_n---b_a-1.jpg,MBA Thực Chiến,137.830đ,https://cdn0.fahasa.com/media/catalog/product/m/b/mba-th_c-chi_n---b_a-1.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\9786044037035.jpg,Làm Gì Khi Ta Sinh Ra Và Lớn Lên Trong Nghèo Khó,91.630đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786044037035.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\8935235240650_1.jpg,Khi Lời Nói Dối Là Vũ Khí,143.500đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935235240650_1.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\bia_ben-trong-chung-ta-da-vun-vo-nhu-the-nao.jpg,Bên Trong Chúng Ta Đã Vụn Vỡ Như Thế Nào?,96.250đ,https://cdn0.fahasa.com/media/catalog/product/b/i/bia_ben-trong-chung-ta-da-vun-vo-nhu-the-nao.jpg
D:\Hoc_Tap\Summer2024_OJT\CourseProject\static\images\8932000133735_1.jpg,Giận (Tái Bản 2023),110.700đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8932000133735_1.jpg
