image path,title,price,image URL
D:\study\OJT\ImagesBookSearch\backend\images\who_chuyen-ke-danh-nhan-the-gioi_james-watt_bia.jpg,Who? Chuyện Kể Về Danh Nhân Thế Giới - James Watt,54.000đ,https://cdn0.fahasa.com/media/catalog/product/w/h/who_chuyen-ke-danh-nhan-the-gioi_james-watt_bia.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786045595152.jpg,Vương Quốc Nhỏ Bí Mật - Bìa Cứng,143.100đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786045595152.jpg
D:\study\OJT\ImagesBookSearch\backend\images\quiz_-khoa-hoc-ki-thu_dong-thuc-vat-doc-va-quy-hiem_bia.jpg,Quiz! Khoa Học Kì Thú - Động Thực Vật Độc Và Quý Hiếm,67.500đ,https://cdn0.fahasa.com/media/catalog/product/q/u/quiz_-khoa-hoc-ki-thu_dong-thuc-vat-doc-va-quy-hiem_bia.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8938537634653.jpg,Song Ngữ Việt - Anh - Diary Of A Wimpy Kid - Nhật Ký Chú Bé Nhút Nhát - Tập 17: Bỉm Toang - Diper Överlöde,76.800đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8938537634653.jpg
D:\study\OJT\ImagesBookSearch\backend\images\chuyen-con-meo-day-hai-au-bay-01.jpg,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2024),51.000đ,https://cdn0.fahasa.com/media/catalog/product/c/h/chuyen-con-meo-day-hai-au-bay-01.jpg
D:\study\OJT\ImagesBookSearch\backend\images\frame_8935086857892.jpg,Bí Mật Của Rừng - The Forest Secret,32.850đ,https://cdn0.fahasa.com/media/catalog/product/thumbnailframe/product_frame_ncc/frame_8935086857892.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935236428972.jpg,Bồi Dưỡng Tính Cách Cho Bé EQ IQ (2-8 Tuổi) - Dạy Trẻ Biết Xin Lỗi (Song Ngữ Anh - Việt),29.750đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935236428972.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935212357555.jpg,EQ - IQ Giúp Trẻ Làm Chủ Cảm Xúc - Nhận Biết Và Thấu Hiểu Cảm Xúc,27.200đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935212357555.jpg
D:\study\OJT\ImagesBookSearch\backend\images\who-chuyen-ke-ve-danh-nhan-the-gioi_hillary-clinton_tb-2023.jpg,Who? Chuyện Kể Về Danh Nhân Thế Giới - Hillary Clinton (Tái Bản 2023),58.500đ,https://cdn0.fahasa.com/media/catalog/product/w/h/who-chuyen-ke-ve-danh-nhan-the-gioi_hillary-clinton_tb-2023.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935212358583_1.jpg,Tủ Sách Bách Khoa Tri Thức - Bách Khoa Tri Thức Cho Trẻ Em,210.000đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935212358583_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\nhung-anh-hung-tre-tuoi_to-vinh-dien.jpg,Những Anh Hùng Trẻ Tuổi - Tô Vĩnh Diện,45.000đ,https://cdn0.fahasa.com/media/catalog/product/n/h/nhung-anh-hung-tre-tuoi_to-vinh-dien.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8936203360011.jpg,Truyện Cổ Grimm - Bản Cao Cấp - Tặng Kèm Bookmark + 2 Postcard,544.000đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8936203360011.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786043484557_1.jpg,Đồng Dao Thơ - Truyện Cho Bé Tập Nói (Dành Cho Trẻ 0-6 Tuổi),71.540đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043484557_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\ailaymiengphomat-kids-01_bia-1.jpg,Ai Lấy Miếng Pho Mát Của Tôi? - Phiên Bản Dành Cho Độc Giả Nhí,49.640đ,https://cdn0.fahasa.com/media/catalog/product/a/i/ailaymiengphomat-kids-01_bia-1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\frame_9786043055856.jpg,Sách Tương Tác Thông Minh - Đừng Chạm Vào Động Vật Hoang Dã,119.250đ,https://cdn0.fahasa.com/media/catalog/product/thumbnailframe/product_frame_ncc/frame_9786043055856.jpg
D:\study\OJT\ImagesBookSearch\backend\images\cbnn18-1_1.jpg,Diary Of A Wimpy Kid - Nhật Ký Chú Bé Nhút Nhát - Tập 18: Out Trình - No Brainer (Song Ngữ Việt-Anh),76.800đ,https://cdn0.fahasa.com/media/catalog/product/c/b/cbnn18-1_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935244880007.jpg,"Du Hành Vào Lịch Sử Thế Giới - Thập Tự Chinh - Nhân Danh Chúa, Hãy Chiến Đấu!",40.500đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244880007.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935072954154.jpg,Bé Yêu Tô Màu - Đội Chó Cứu Hộ Paw Patrol - Tập 4,9.000đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935072954154.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935244872606.jpg,Từ Làng Sen (Tái Bản 2022),31.500đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244872606.jpg
D:\study\OJT\ImagesBookSearch\backend\images\huong-dan-su-dung-me.jpg,Ehon - Hướng Dẫn Sử Dụng Mẹ (Tái Bản 2020),48.970đ,https://cdn0.fahasa.com/media/catalog/product/h/u/huong-dan-su-dung-me.jpg
D:\study\OJT\ImagesBookSearch\backend\images\kinh-van-hoa---phien-ban-m_i---tap-1---tb-2022.jpg,Kính Vạn Hoa - Tập 1 - Nhà Ảo Thuật - Những Con Gấu Bông - Thám Tử Nghiệp Dư (Tái Bản 2022),73.100đ,https://cdn0.fahasa.com/media/catalog/product/k/i/kinh-van-hoa---phien-ban-m_i---tap-1---tb-2022.jpg
D:\study\OJT\ImagesBookSearch\backend\images\nhung-anh-hung-tre-tuoi_phan-dinh-giot.jpg,Những Anh Hùng Trẻ Tuổi - Phan Đình Giót,45.000đ,https://cdn0.fahasa.com/media/catalog/product/n/h/nhung-anh-hung-tre-tuoi_phan-dinh-giot.jpg
D:\study\OJT\ImagesBookSearch\backend\images\image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2339.jpg,Sách Chuyển Động - First Stories - The Little Mermaid - Nàng Tiên Cá,101.150đ,https://cdn0.fahasa.com/media/catalog/product/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_2339.jpg
D:\study\OJT\ImagesBookSearch\backend\images\100-truyen-co-tich-viet-nam-440.jpg,100 Truyện Cổ Tích Việt Nam (Tái Bản 2023),73.500đ,https://cdn0.fahasa.com/media/catalog/product/1/0/100-truyen-co-tich-viet-nam-440.jpg
D:\study\OJT\ImagesBookSearch\backend\images\frame_untitled-1_141.jpg,Ngày Xửa Ngày Xưa - Alice Lạc Vào Xứ Sở Thần Tiên,48.750đ,https://cdn0.fahasa.com/media/catalog/product/thumbnailframe/product_frame_ncc/frame_untitled-1_141.jpg
